company_name,product_name,sha1
Giorgio Tani,PeaZip,bcd9fd198cab024450c1f2d09d83aeeeee6a2a4a
Igor Pavlov,7-Zip,ff22e3a12e153e70014179f83f85459f8db1191c
Tim Kosse,FileZilla,e94803128b6368b5c2c876a782b1e88346356844
1Password,1Password,e5ee385388b5fa57cc8374102d779d3c9849a57f
"GoTo Group, Inc.",LastPass,fa946b6d4293b0a0bae0e94ffcd6817f4526aa3b
NirSoft,SearchMyFiles,77cfb3b4dc28e47ddba222982e6b6cd1c935e127
Kong,Insomnia,fd9b8a6a2e3045d250efa0400bb636d3e634681f
EmTec Innovative Software,ZOC Terminal,51dac5be22e93772d40dfa47ca25408886626f5d
Stas'M Corp.,RDP Host Support,66f40824b406c748846ef11e6b022958f8cbe48b
https://www.qemu.org,QEMU,c9ec956ae1aafabf1437cab16db14c61534b3e14
Rocket Software B.V.,Uniface,f2b74524ebdfdaa9091cba029e67e5d39f7c9711
株式会社モーリン,筆まめ,49ab845fe16b5ef683facbb6bdc5a015e041552f
AnyDesk Software GmbH,AnyDesk,ff793f21612ac66244f2a41d3102f04f38fe7ded
PlariumPlay,PlariumPlay,fc28c06f316f719a623edbbf21cfa9e30b561929
Slack Technologies Inc.,Slack,f53f36c766c615f665dd00de30dc12d2ed4195b9
Progress Software Corporation,Fiddler,a3f06260e08e0df5460892f23938882110ba0106
Foxit Software Company,Foxit Reader,4d0e8ca43856eaf5c2356dfdb076d0f1d7a17a36
Movavi,Movavi Screen Recorder,ca97be01f1df3d9551a4492e19c7ea04340dafe3
Skype Technologies S.A.,Skype,ff816df2a3dc42904b504a77140005ff5af86ea4
Inkscape project,Inkscape,fded59b1e945cc560d48d2f905c3395d8641f74a
Foxit Software Inc.,Foxit Reader,f93916a7b6bf0f562c805a1a98b4dcd5aa5d017a
EJIE Technology,Clover,6ebcc373e30a979582b4c7c6f1c2e50a8039bc33
OneStart.ai,OneStart,37121618e735ebf628f7ba6ce29afc251ed88503
SUPERAntiSpyware,SUPERAntiSpyware,4a996bc861a9f9daa7afe5b834b82b2d573ce184
"Zoom Video Communications, Inc.",Zoom,fd797e4071afe131104c1d29cd0cb606da62f3d5
Bandisoft International Inc.,Bandizip,ccdeec743af30d6ee512996963f87e085d181ad7
Godot Engine,Godot Engine,727f49ce2b4c34ecd88554f7c8ab6f0f746f8bbb
TechSmith Corporation,Camtasia,843b008a36f319d523c3cc45cee034c05f1c7e3d
Iain Patterson,NSSM,47c112c23c7bdf2af24a20bd512f91ff6af76bc6
"Fuji Xerox Co., Ltd.",DocuWorks,f6e383660df4dd2ab8a8d437a343e4b54b48f726
Pleasant Solutions,KeePass,83c2bc8ae83509d260e4e166b564873ca358c18c
"Lumivero, LLC",Citavi,7b7c3fb85ef95c7464a8126ee399c0d860c8c9cd
Kakao,PotPlayer,e7dc1366b69b3a737a5ecea3dbb28537bdd078a5
"Dashlane, Inc.",Dashlane,440538893999e2390385c144fa5c2e6e8ec73ba8
EPI Software,EpiBrowser,ee7f1074f1345b2543a91192214f99d7d9ad7e69
Piriform Software Ltd,Speccy,dc566cc0f653a27436ef32b1410e0d1109371d09
2345移动科技,2345看图王,78f1ae2136e2125582220d9a4d77a3fdaa9f5e2e
Mathias Svensson,Multi Commander,630a71dc6fff81024b51c492e34992182a304706
NTeWORKS,PicPick,59ebc2a6abd2fd15eeb7a2c3d7e48cb7397d2056
Axantum Software AB,AxCrypt,518cc58561eb1ed1111b56cab39c8b4caf298a32
HTTPie,HTTPie,2e20048524ab4f9fff49b7f0376b12bc03300bd9
Oracle Corporation,Java(TM) Platform SE 8 U202,f4e09353d70c7edc2a46376c29c9f131534902a0
Code Sector Inc.,TeraCopy,511b593233722aa8b185d2efb14fa1c0ed1e8aa6
Postman,Postman,f5917a74a8a266e897104b7011b1e97131ad2942
NCH Software,WavePad,ebe6ee1fc2ae2bedbd37563902db601165f25572
Sophos B.V.,HitmanPro,7efb99475e37a3aa40465c15af14452925e5225f
 ,二刀流宛名印刷,fd42804b2f2668449ddf57ae7d3aa2c6ea1195b3
TechSmith Corporation,Snagit,ffc05b12e14fdd077166e9280eac4ca47f4888fa
IDRIX,VeraCrypt,fe7e018808cf85e7e04754500f18c440bc8a2724
Movavi ,Movavi Video Converter,0d11f15005bdd10de3a7ee1bebb868d2e1b6efbc
Code Sector,TeraCopy,dc16cc243b873963a8897225032b4a1096d9e8d7
Electronic Arts,Origin,a9f245b54ef78333483a105615a02fa0f0efc16f
